Année,Diplôme,situation,Genre,Disciplines,Code du domaine,Domaine ciblé,Domaine,Code de la discipline,Discipline,Code du secteur disciplinaire,Secteur disciplinaire,Taux d’insertion,Part des emplois de niveau cadre ou profession intermédiaire,Part des emplois de niveau cadre,% emplois extérieurs à la région de l’université,Part des emplois stables,Part des emplois à temps plein,Salaire net mensuel médian des emplois à temps plein,Salaire brut annuel estimé,Premier quartile des salaires nets mensuels des emplois à temps plein,Dernier quartile des salaires nets mensuels des emplois à temps plein,Part des diplômés boursiers dans la discipline,Taux de chômage national
2014-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences politiques",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_02,"Pluridisciplinaire droit, sciences politiques",87,66,44,50,59,100,ns,ns,ns,ns,48,9.3
2016-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences politiques",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_02,"Pluridisciplinaire droit, sciences politiques",84,ns,ns,ns,ns,ns,ns,ns,ns,ns,35,8.5
2019-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences économiques et de gestion, AES",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_03,"Pluridisciplinaire droit, sciences économiques et de gestion, AES",89,88,61,8,81,97,2160,33600,ns,ns,44,7.2
2016-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences économiques et de gestion, AES",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_03,"Pluridisciplinaire droit, sciences économiques et de gestion, AES",90,74,41,6,75,99,2000,31200,1800,2200,46,8.5
2017-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire droit, sciences économiques et de gestion, AES",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_03,"Pluridisciplinaire droit, sciences économiques et de gestion, AES",90,83,57,12,75,98,2100,32800,1800,2470,49,7.8
2017-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,96,84,52,41,74,98,2000,31200,1600,2370,25,7.8
2017-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,96,87,58,44,79,98,2080,32500,1700,2490,24,7.8
2013-01-01,MASTER LMD,30 mois après le diplôme,hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,92,89,66,23,88,99,2330,36400,1900,2800,20,9.9
2013-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,93,89,63,20,87,99,2240,35000,1820,2630,19,9.9
2018-01-01,MASTER LMD,18 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,93,91,55,50,77,97,2160,33700,1730,2730,38,7.8
2018-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,94,91,51,41,76,98,2000,31200,1700,2400,39,7.8
2019-01-01,MASTER LMD,18 mois après le diplôme,hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,81,96,62,52,67,100,ns,33100,ns,ns,32,7.2
2020-01-01,MASTER LMD,18 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,88,75,46,51,58,96,1800,33800,ns,ns,34,6.9
2016-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,96,90,62,38,88,99,2260,35300,1780,2800,23,8.5
2011-01-01,MASTER LMD,30 mois après le diplôme,femmes et hommes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,89,80,53,38,85,96,2010,31300,1630,2450,29,9.7
2017-01-01,MASTER LMD,30 mois après le diplôme,femmes,"Droit, économie et gestion>Autres formations juridiques, économiques et de gestion>Pluridisciplinaire sciences économiques et gestion",DEG,0,"Droit, économie et gestion",disc05,"Autres formations juridiques, économiques et de gestion",disc05_04,Pluridisciplinaire sciences économiques et gestion,97,88,63,41,87,99,2160,33600,1710,2520,25,7.8
